Trial,Spatial Frequency,Temporal Frequency,Direction,Time
stationary,0.0106,0.125,0,1444.4456475
moving,0.0106,0.125,0,1445.4466216
blank,0.0212,0.031,0,1448.4561777
stationary,0.0212,0.031,0,1449.4571342
moving,0.0212,0.031,0,1450.4581144
blank,0.001336,8,315,1453.4677375
stationary,0.001336,8,315,1454.4687129
moving,0.001336,8,315,1455.4696717
blank,0.0212,0.031,270,1458.4792612
stationary,0.0212,0.031,270,1459.4802627
moving,0.0212,0.031,270,1460.4812603
blank,0.001336,8,90,1463.4907463
stationary,0.001336,8,90,1464.4916365
moving,0.001336,8,90,1465.4926272
blank,0.000668,16,225,1468.5022831
stationary,0.000668,16,225,1469.5032436
moving,0.000668,16,225,1470.5042773
blank,0.000668,16,315,1473.5138642
stationary,0.000668,16,315,1474.5147525
moving,0.000668,16,315,1475.5156818
blank,0.0106,0.125,0,1478.5252795
stationary,0.0106,0.125,0,1479.5262443
moving,0.0106,0.125,0,1480.52719
blank,0.00267,2,315,1483.5368164
stationary,0.00267,2,315,1484.5378158
moving,0.00267,2,315,1485.5387051
blank,0.0106,0.125,45,1488.5483288
stationary,0.0106,0.125,45,1489.5492716
moving,0.0106,0.125,45,1490.5501989
blank,0.0212,0.031,180,1493.5597864
stationary,0.0212,0.031,180,1494.5608032
moving,0.0212,0.031,180,1495.561733
blank,0.0212,0.031,0,1498.5713626
stationary,0.0212,0.031,0,1499.572327
moving,0.0212,0.031,0,1500.5732202
blank,0.0053,0.5,270,1503.5830205
